Overhead 10:
 webapp2 w/SimpleTemplate: | 250 total, 0 failed |   8.666s overall, 0.035s each | score:   1.043 |
            WSGI w/Tenjin: | 250 total, 0 failed |   8.733s overall, 0.035s each | score:   1.051 |
  bottle w/SimpleTemplate: | 250 total, 0 failed |   8.759s overall, 0.035s each | score:   1.054 |
   tipfy w/SimpleTemplate: | 250 total, 0 failed |   8.776s overall, 0.035s each | score:   1.056 |
      webop w/TenjinCache: | 250 total, 0 failed |   8.885s overall, 0.036s each | score:   1.069 |
          webapp2 w/Jinja: | 250 total, 0 failed |   9.023s overall, 0.036s each | score:   1.086 |
            webapp w/Mako: | 250 total, 0 failed |   9.054s overall, 0.036s each | score:   1.090 |
           bottle w/Jinja: | 250 total, 0 failed |   9.068s overall, 0.036s each | score:   1.091 |
           webop w/Django: | 250 total, 0 failed |   9.108s overall, 0.036s each | score:   1.096 |
    WSGI w/SimpleTemplate: | 250 total, 0 failed |   9.279s overall, 0.037s each | score:   1.117 |
  webapp w/SimpleTemplate: | 250 total, 0 failed |   9.301s overall, 0.037s each | score:   1.120 |
            web.py w/Mako: | 250 total, 0 failed |   9.345s overall, 0.037s each | score:   1.125 |
             webop w/Mako: | 250 total, 0 failed |   9.358s overall, 0.037s each | score:   1.126 |
           tipfy w/Django: | 250 total, 0 failed |   9.432s overall, 0.038s each | score:   1.135 |
           webapp2 w/Mako: | 250 total, 0 failed |   9.432s overall, 0.038s each | score:   1.135 |
            bottle w/Mako: | 250 total, 0 failed |   9.483s overall, 0.038s each | score:   1.141 |
         webapp2 w/Django: | 250 total, 0 failed |   9.526s overall, 0.038s each | score:   1.147 |
          webapp w/Django: | 250 total, 0 failed |   9.586s overall, 0.038s each | score:   1.154 |
           web.py w/Jinja: | 250 total, 0 failed |   9.623s overall, 0.038s each | score:   1.158 |
           flask w/Django: | 250 total, 0 failed |   9.775s overall, 0.039s each | score:   1.177 |
              WSGI w/Mako: | 250 total, 0 failed |   9.776s overall, 0.039s each | score:   1.177 |
          web.py w/Django: | 250 total, 0 failed |   9.951s overall, 0.040s each | score:   1.198 |
             flask w/Mako: | 250 total, 0 failed |  10.103s overall, 0.040s each | score:   1.216 |
        webop w/Templator: | 250 total, 0 failed |  10.124s overall, 0.040s each | score:   1.219 |
           webapp w/Breve: | 250 total, 0 failed |  10.338s overall, 0.041s each | score:   1.244 |
  web.py w/SimpleTemplate: | 250 total, 0 failed |  10.350s overall, 0.041s each | score:   1.246 |
            tipfy w/Jinja: | 250 total, 0 failed |  10.378s overall, 0.042s each | score:   1.249 |
            tipfy w/Breve: | 250 total, 0 failed |  10.432s overall, 0.042s each | score:   1.256 |
            webop w/Breve: | 250 total, 0 failed |  10.736s overall, 0.043s each | score:   1.292 |
   webop w/SimpleTemplate: | 250 total, 0 failed |  10.750s overall, 0.043s each | score:   1.294 |
